show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s00001,Movie,Title 1,Director D,"Actor 3, Actor 4",United States,"January 10, 2020",1996,PG-13,70 min,Horror,A dark story about technology.
s00002,TV Show,Title 2,Director E,,United Kingdom,"October 19, 2010",2005,PG-13,3 Seasons,Thriller,A dark story about friendship.
s00003,TV Show,Title 3,Director A,"Actor 1, Actor 2",United Kingdom,"June 27, 2016",2015,R,2 Seasons,Documentary,A inspiring story about survival.
s00004,Movie,Title 4,Director B,,"Japan, Italy","October 07, 2009",1980,TV-14,136 min,Thriller,A thrilling story about technology.
s00005,Movie,Title 5,Director D,,Canada,"May 19, 2020",1987,TV-MA,68 min,Family,A mysterious story about friendship.
s00006,Movie,Title 5,Director E,Actor 5,,"July 29, 2014",2014,TV-14,146 min,"Action, Drama",A thrilling story about love.
s00007,Movie,Title 7,Director E,,United Kingdom,"February 05, 2022",1994,TV-MA,170 min,Animation,A inspiring story about survival.
s00008,TV Show,Title 8,Director A,"Actor 1, Actor 2",United States,"November 14, 2021",2001,TV-MA,4 Seasons,Drama,A mysterious story about crime.
s00009,Movie,Title 9,,,Brazil,"February 10, 2016",1993,TV-14,111 min,Drama,A funny story about family.
s00010,TV Show,Title 10,Director B,Actor 5,United States,"December 12, 2020",2005,PG-13,2 Seasons,Romance,A dark story about survival.
s00011,Movie,Title 11,Director D,"Actor 3, Actor 4",,"April 24, 2012",2007,TV-PG,180 min,Family,A heartfelt story about friendship.
s00012,TV Show,Title 12,Director B,"Actor 1, Actor 2",United States,"October 20, 2023",2002,PG-13,4 Seasons,Sci-Fi,A mysterious story about family.
s00013,TV Show,Title 13,Director B,"Actor 3, Actor 4","United States, Germany","July 23, 2009",1993,TV-14,1 Seasons,"Thriller, Drama",A thrilling story about love.
s00014,Movie,Title 14,Director D,Actor 5,,"January 10, 2009",2003,R,139 min,Comedy,A heartfelt story about family.
s00015,Movie,Title 15,Director A,"Actor 6, Actor 7, Actor 8",Spain,"October 31, 2022",1981,TV-MA,70 min,Family,A mysterious story about crime.
s00016,Movie,Title 16,Director E,"Actor 1, Actor 2","Canada, Mexico",,2024,R,113 min,"Documentary, Romance",A inspiring story about crime.
s00017,Movie,Title 17,Director B,Actor 5,"India, France","June 28, 2014",2005,TV-MA,144 min,Family,A heartfelt story about technology.
s00018,Movie,Title 18,Director A,"Actor 6, Actor 7, Actor 8",United States,"October 15, 2009",1993,TV-PG,134 min,Family,A dark story about crime.
s00019,Movie,Title 19,Director B,"Actor 6, Actor 7, Actor 8",United States,"March 22, 2013",1986,TV-MA,132 min,Romance,A thrilling story about friendship.
s00020,Movie,Title 20,Director D,"Actor 3, Actor 4",United States,"April 07, 2010",1982,PG-13,126 min,Animation,A inspiring story about survival.
s00021,Movie,Title 21,,"Actor 3, Actor 4",United Kingdom,"July 10, 2016",2002,TV-MA,100 min,Animation,A funny story about friendship.
s00022,Movie,Title 22,,"Actor 1, Actor 2",Canada,"March 27, 2014",2022,NR,179 min,"Horror, Comedy",A dark story about crime.
s00023,Movie,Title 23,Director E,Actor 5,"Japan, Italy","March 03, 2018",2024,TV-14,93 min,Animation,A heartfelt story about survival.
s00024,Movie,Title 24,,"Actor 3, Actor 4",United States,"April 04, 2022",1997,TV-14,86 min,Thriller,A dark story about survival.
s00025,Movie,Title 25,Director C,"Actor 3, Actor 4",,"March 07, 2016",2017,TV-MA,145 min,Drama,A funny story about technology.
s00026,TV Show,Title 26,Director C,"Actor 1, Actor 2",Canada,"August 25, 2011",2014,R,6 Seasons,Horror,A heartfelt story about crime.
s00027,Movie,Title 27,Director B,Actor 5,United Kingdom,"April 20, 2016",1994,TV-MA,90 min,Romance,A inspiring story about technology.
s00028,Movie,Title 28,Director C,Actor 5,Japan,"December 20, 2015",2004,G,93 min,Romance,A dark story about love.
s00029,Movie,Title 29,,,India,"September 12, 2012",2016,TV-MA,110 min,Animation,A inspiring story about family.
s00030,Movie,Title 30,Director C,Actor 5,United States,"January 12, 2023",2007,TV-MA,76 min,Drama,A inspiring story about survival.
s00031,Movie,Title 31,Director A,"Actor 3, Actor 4",India,"December 27, 2013",1989,TV-MA,145 min,Animation,A mysterious story about technology.
s00032,Movie,Title 32,Director C,Actor 5,Canada,"September 28, 2023",2018,TV-14,142 min,Sci-Fi,A heartfelt story about technology.
s00033,Movie,Title 33,,"Actor 1, Actor 2",United States,"May 01, 2023",1996,TV-14,98 min,"Action, Drama",A thrilling story about love.
s00034,TV Show,Title 34,Director C,"Actor 1, Actor 2",United States,"July 14, 2022",2018,TV-MA,8 Seasons,Drama,A heartfelt story about crime.
s00035,TV Show,Title 35,,"Actor 6, Actor 7, Actor 8",United States,"August 07, 2009",2001,PG,6 Seasons,"Family, Drama",A inspiring story about love.
s00036,TV Show,Title 36,Director A,"Actor 1, Actor 2",United States,"August 30, 2021",2005,TV-14,2 Seasons,Animation,A mysterious story about friendship.
s00037,Movie,Title 37,,Actor 5,Spain,"March 29, 2022",2023,TV-14,61 min,Horror,A inspiring story about friendship.
s00038,Movie,Title 38,,"Actor 1, Actor 2",Canada,"November 02, 2011",2004,TV-14,118 min,Sci-Fi,A mysterious story about love.
s00039,TV Show,Title 39,Director D,"Actor 3, Actor 4",India,"December 24, 2019",1996,PG-13,2 Seasons,Comedy,A mysterious story about crime.
s00040,Movie,Title 40,Director A,"Actor 1, Actor 2",United States,"May 09, 2024",1992,TV-14,69 min,Animation,A thrilling story about love.
s00041,Movie,Title 41,Director E,"Actor 3, Actor 4",India,"June 28, 2013",1999,TV-MA,128 min,Romance,A dark story about friendship.
s00042,Movie,Title 42,Director E,"Actor 1, Actor 2",India,"August 31, 2011",2004,TV-MA,87 min,Comedy,A mysterious story about love.
s00043,Movie,Title 43,Director C,,United States,"May 14, 2018",1983,PG,124 min,Action,A mysterious story about love.
s00044,TV Show,Title 44,,"Actor 1, Actor 2",India,"July 05, 2016",1989,TV-PG,5 Seasons,Comedy,A inspiring story about crime.
s00045,Movie,Title 45,Director A,,"India, France","January 20, 2014",1982,PG-13,76 min,Sci-Fi,A inspiring story about family.
s00046,TV Show,Title 46,Director D,"Actor 6, Actor 7, Actor 8",Japan,"May 09, 2022",2020,PG-13,6 Seasons,Drama,A dark story about crime.
s00047,Movie,Title 47,Director A,"Actor 6, Actor 7, Actor 8",Japan,"June 08, 2023",2024,R,172 min,Horror,A heartfelt story about crime.
s00048,Movie,Title 48,,"Actor 1, Actor 2","United States, Germany","June 28, 2020",1997,PG-13,68 min,Animation,A thrilling story about crime.
s00049,Movie,Title 49,Director C,Actor 5,India,"December 04, 2012",2015,TV-MA,172 min,Romance,A mysterious story about survival.
s00050,Movie,Title 50,Director D,"Actor 1, Actor 2","Japan, Italy","May 10, 2023",2001,TV-MA,91 min,"Thriller, Animation",A thrilling story about family.
s00051,TV Show,Title 51,Director D,"Actor 3, Actor 4",United Kingdom,"April 10, 2015",2013,R,6 Seasons,Family,A mysterious story about family.
s00052,TV Show,Title 52,,Actor 5,Spain,"April 03, 2009",1987,R,5 Seasons,Drama,A heartfelt story about family.
s00053,TV Show,Title 53,Director C,"Actor 6, Actor 7, Actor 8","Japan, France","February 19, 2013",2019,TV-MA,3 Seasons,"Family, Documentary",A heartfelt story about family.
s00054,TV Show,Title 54,,"Actor 1, Actor 2",United States,"September 19, 2008",2023,TV-MA,8 Seasons,Horror,A funny story about technology.
s00055,Movie,Title 55,,Actor 5,United States,"January 28, 2015",1998,TV-MA,166 min,Family,A funny story about family.
s00056,TV Show,Title 56,Director E,"Actor 1, Actor 2",Japan,"December 30, 2016",2021,R,5 Seasons,Family,A thrilling story about technology.
s00057,Movie,Title 57,,"Actor 6, Actor 7, Actor 8",United States,"January 02, 2014",2020,TV-MA,138 min,Drama,A dark story about friendship.
